PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1628371,2023-24,00,1610612753,ORL,26.0,58,2,915.0,146,286,0.51,42,112,0.375,59,82,0.72,73,187,260,30,43,70,27,64,393,Jonathan Isaac
1628371,2024-25,00,1610612753,ORL,27.0,71,1,1090.0,134,324,0.414,39,151,0.258,73,107,0.682,120,194,314,40,61,80,33,90,380,Jonathan Isaac
1631306,2022-23,00,1610612747,LAL,24.0,7,0,41.0,3,9,0.333,3,8,0.375,0,0,0.0,1,6,7,4,0,0,0,3,9,Cole Swider
1631306,2023-24,00,1610612748,MIA,25.0,18,0,87.0,15,38,0.395,10,30,0.333,2,2,1.0,1,6,7,5,1,1,8,4,42,Cole Swider
1631306,2024-25,00,1610612765,DET,25.0,2,0,13.0,0,5,0.0,0,5,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,Cole Swider
1631306,2024-25,00,1610612761,TOR,25.0,8,0,156.0,22,58,0.379,15,42,0.357,0,1,0.0,5,20,25,2,4,2,4,11,59,Cole Swider
1631306,2024-25,00,0,TOT,25.0,10,0,170.0,22,63,0.349,15,47,0.319,0,1,0.0,5,22,27,3,4,2,4,12,59,Cole Swider
201142,2007-08,00,1610612760,SEA,19.0,80,80,2768.0,587,1366,0.43,59,205,0.288,391,448,0.873,70,278,348,192,78,75,232,122,1624,Kevin Durant
201142,2008-09,00,1610612760,OKC,20.0,74,74,2885.0,661,1390,0.476,97,230,0.422,452,524,0.863,77,405,482,205,96,53,225,134,1871,Kevin Durant
201142,2009-10,00,1610612760,OKC,21.0,82,82,3239.0,794,1668,0.476,128,351,0.365,756,840,0.9,105,518,623,231,112,84,271,171,2472,Kevin Durant
201142,2010-11,00,1610612760,OKC,22.0,78,78,3038.0,711,1538,0.462,145,414,0.35,594,675,0.88,57,476,533,214,88,76,218,159,2161,Kevin Durant
201142,2011-12,00,1610612760,OKC,23.0,66,66,2546.0,643,1297,0.496,133,344,0.387,431,501,0.86,40,487,527,231,88,77,248,133,1850,Kevin Durant
201142,2012-13,00,1610612760,OKC,24.0,81,81,3119.0,731,1433,0.51,139,334,0.416,679,750,0.905,46,594,640,374,116,105,280,143,2280,Kevin Durant
201142,2013-14,00,1610612760,OKC,25.0,81,81,3122.0,849,1688,0.503,192,491,0.391,703,805,0.873,58,540,598,445,103,59,285,174,2593,Kevin Durant
201142,2014-15,00,1610612760,OKC,26.0,27,27,913.0,238,467,0.51,64,159,0.403,146,171,0.854,16,162,178,110,24,25,74,40,686,Kevin Durant
201142,2015-16,00,1610612760,OKC,27.0,72,72,2578.0,698,1381,0.505,186,481,0.387,447,498,0.898,45,544,589,361,69,85,250,137,2029,Kevin Durant
201142,2016-17,00,1610612744,GSW,28.0,62,62,2070.0,551,1026,0.537,117,312,0.375,336,384,0.875,39,474,513,300,66,99,138,117,1555,Kevin Durant
201142,2017-18,00,1610612744,GSW,29.0,68,68,2325.0,630,1222,0.516,173,413,0.419,359,404,0.889,31,433,464,366,50,119,207,133,1792,Kevin Durant
201142,2018-19,00,1610612744,GSW,30.0,78,78,2702.0,721,1383,0.521,137,388,0.353,448,506,0.885,33,464,497,457,58,84,225,155,2027,Kevin Durant
201142,2020-21,00,1610612751,BKN,32.0,35,32,1157.0,324,603,0.537,85,189,0.45,210,238,0.882,13,234,247,195,25,45,120,70,943,Kevin Durant
201142,2021-22,00,1610612751,BKN,33.0,55,55,2047.0,578,1115,0.518,115,300,0.383,372,409,0.91,29,378,407,351,48,52,191,113,1643,Kevin Durant
201142,2022-23,00,1610612751,BKN,34.0,39,39,1403.0,410,734,0.559,71,189,0.376,267,286,0.934,14,248,262,207,32,57,136,92,1158,Kevin Durant
201142,2022-23,00,1610612756,PHX,34.0,8,8,269.0,73,128,0.57,22,41,0.537,40,48,0.833,3,48,51,28,2,10,20,7,208,Kevin Durant
201142,2022-23,00,0,TOT,34.0,47,47,1672.0,483,862,0.56,93,230,0.404,307,334,0.919,17,296,313,235,34,67,156,99,1366,Kevin Durant
201142,2023-24,00,1610612756,PHX,35.0,75,75,2791.0,751,1436,0.523,168,407,0.413,362,423,0.856,41,454,495,378,69,91,244,133,2032,Kevin Durant
201142,2024-25,00,1610612756,PHX,36.0,62,62,2265.0,592,1124,0.527,160,372,0.43,303,361,0.839,23,351,374,263,50,77,190,104,1647,Kevin Durant
1626172,2015-16,00,1610612744,GSW,20.0,5,0,21.0,4,7,0.571,1,2,0.5,0,0,0.0,4,6,10,0,0,0,1,2,9,Kevon Looney
1626172,2016-17,00,1610612744,GSW,21.0,53,4,447.0,56,107,0.523,2,9,0.222,21,34,0.618,44,80,124,29,15,17,17,64,135,Kevon Looney
1626172,2017-18,00,1610612744,GSW,22.0,66,4,910.0,112,193,0.58,1,5,0.2,42,77,0.545,83,132,215,42,34,56,31,106,267,Kevon Looney
1626172,2018-19,00,1610612744,GSW,23.0,80,24,1481.0,217,347,0.625,1,10,0.1,65,105,0.619,194,223,417,123,46,53,51,211,500,Kevon Looney
1626172,2019-20,00,1610612744,GSW,24.0,20,4,262.0,29,79,0.367,1,14,0.071,9,12,0.75,28,38,66,20,12,6,12,34,68,Kevon Looney
1626172,2020-21,00,1610612744,GSW,25.0,61,34,1161.0,108,197,0.548,4,17,0.235,31,48,0.646,117,205,322,119,21,22,37,136,251,Kevon Looney
1626172,2021-22,00,1610612744,GSW,26.0,82,80,1732.0,208,364,0.571,0,1,0.0,75,125,0.6,208,388,596,165,50,52,67,215,491,Kevon Looney
1626172,2022-23,00,1610612744,GSW,27.0,82,70,1958.0,242,384,0.63,0,1,0.0,94,155,0.606,274,486,760,207,52,50,45,225,578,Kevon Looney
1626172,2023-24,00,1610612744,GSW,28.0,74,36,1194.0,139,233,0.597,0,1,0.0,56,83,0.675,143,276,419,133,28,29,50,155,334,Kevon Looney
1626172,2024-25,00,1610612744,GSW,29.0,76,6,1142.0,143,278,0.514,2,5,0.4,56,99,0.566,185,277,462,118,46,37,39,154,344,Kevon Looney
